method,method_label,policy,slo_ms,warmup_mode,cost_gb_seconds,execution_gb_seconds,warm_gb_seconds,mean_warm_count,max_warm_count,mean_keepalive_ttl_sec,mean_memory_mb,predicted_violation_probability,predicted_latency_p50_ms,predicted_latency_p90_ms,predicted_latency_p95_ms,observed_violation_rate,mean_cold_like_stages_per_sim,requests,simulation_rows
scale_to_zero,Scale-To-Zero,p95,3000.0,window,3058.128599147276,3058.128599147276,0.0,0.0,0.0,0.0,256.0,1.0,7939.0,8989.0,9344.0,0.0104316546762589,4.98853237410072,2780,556000
stepconf_style,StepConf-Style,p95,3000.0,window,3058.128599147276,3058.128599147276,0.0,0.0,0.0,0.0,1024.0,1.0,5929.340514767528,6864.161897895129,7177.539417815025,0.0104316546762589,4.999987410071943,2780,556000
smiless_pareto,SMIless-Pareto,p95,3000.0,window,21783.128599147276,3058.128599147276,18725.0,13.934883720930232,14.0,0.0,256.0,0.0145485611510791,2178.0,2558.0,2686.0,0.0104316546762589,0.0110827338129496,2780,556000
always_warm,Always-Warm,p95,3000.0,window,40683.12859914728,3058.128599147276,37625.0,28.0,28.0,0.0,256.0,0.0110557553956834,2177.0,2552.0,2673.0,0.0104316546762589,0.0072140287769784,2780,556000
duet_economy,DUET-Economy (ours),p95,3000.0,window,44945.704046302875,3058.128599147276,41887.5754471556,11.944186046511629,14.0,3.5696950196289188,256.0,0.0051729729729729,2175.0,2542.0,2652.0,0.0104504504504504,0.0,2775,555000
orion_style,ORION-Style,p95,3000.0,window,118658.12859914728,3058.128599147276,115600.0,21.506976744186048,28.0,0.0,1024.0,0.0072769784172661,2048.1618849895785,2559.3274184886723,2665.433932868445,0.0104316546762589,1.0073741007194246,2780,556000
duet_balanced,DUET-Balanced (ours),p95,3000.0,window,168314.98076581908,3058.128599147276,165256.8521666718,11.944186046511629,14.0,9.198256486452312,512.0,0.0,1198.8562661230185,1553.3728946051417,1649.3856811542362,0.0104504504504504,0.0,2775,555000
